-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  42.4555   Longitude -105.0876 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1591.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,1,-1.42,-6.02,-3.72,-2.94,9.37,4.07,-5.3
2021,1,2,-1.77,-8.95,-5.36,-2.45,9.9,4.04,-5.87
2021,1,3,-0.2,-6.75,-3.48,-0.88,9.56,4.25,-5.31
2021,1,4,-0.02,-7.02,-3.52,-0.7,10.27,6.11,-4.16
2021,1,5,0.9,-4.69,-1.89,0.19,8.91,5.34,-3.56
2021,1,6,-2.06,-9.97,-6.01,-2.34,10.25,4.37,-5.88
2021,1,7,-1.21,-7.8,-4.51,-1.92,8.52,4.24,-4.28
2021,1,8,-1.99,-5.56,-3.77,-2.34,7.34,2.85,-4.49
2021,1,9,-3.96,-5.92,-4.94,-3.72,5.7,-0.62,-6.32
2021,1,10,-4.74,-10.06,-7.4,-4.72,12.08,2.83,-9.24
2021,1,11,-3.38,-11.48,-7.43,-3.63,14.41,5.89,-8.52
2021,1,12,-0.22,-9.1,-4.66,-0.8,11.57,6.29,-5.28
2021,1,13,3.26,-7.16,-1.95,2.3,7.89,7.53,-0.35
2021,1,14,-2.2,-12.99,-7.6,-2.45,4.7,-0.27,-4.97
2021,1,15,-2.33,-12.42,-7.38,-2.45,11.24,3.53,-7.71
2021,1,16,-0.35,-7.36,-3.86,-0.67,7.66,3.48,-4.18
2021,1,17,0.16,-7.52,-3.68,-0.49,11.02,6.58,-4.43
2021,1,18,-2.12,-7.72,-4.92,-2.17,8.45,1.27,-7.18
2021,1,19,-4.48,-11.15,-7.81,-4.38,9.69,1.38,-8.31
2021,1,20,0.35,-11.27,-5.45,-0.45,12.05,6.13,-5.92
2021,1,21,-1.2,-8.6,-4.89,-1.01,7.39,3.3,-4.09
2021,1,22,-2.35,-6.11,-4.24,-1.81,7.77,2.05,-5.73
2021,1,23,-3.35,-5.7,-4.53,-2.92,5.68,-0.52,-6.2
2021,1,24,-4.21,-8.51,-6.36,-4.63,11.72,2.87,-8.85
2021,1,25,-6.06,-9.33,-7.7,-5.23,6.88,-2.51,-9.39
2021,1,26,-8.68,-12.06,-10.37,-8.13,7.34,-4.08,-11.42
2021,1,27,-5.51,-11.42,-8.46,-5.99,13.94,2.26,-11.68
2021,1,28,0.2,-6.48,-3.14,-1.05,14.62,8.72,-5.91
2021,1,29,2.76,-4.7,-0.97,0.8,10.35,9.49,-0.86
2021,1,30,0.19,-4.46,-2.13,-0.25,8.58,5.35,-3.23
2021,1,31,-0.51,-8.0,-4.25,-0.84,11.22,6.72,-4.51
2021,2,1,1.31,-9.9,-4.3,0.49,14.02,10.42,-3.6
2021,2,2,3.84,-5.84,-1.0,2.98,12.61,11.81,-0.8
2021,2,3,2.68,-2.63,0.03,2.32,16.77,12.19,-4.58
2021,2,4,-2.38,-12.06,-7.23,-2.29,6.09,0.74,-5.35
2021,2,5,-1.28,-9.02,-5.16,-1.28,4.02,1.43,-2.59
2021,2,6,-5.2,-10.1,-7.65,-4.19,9.11,-1.32,-10.43
2021,2,7,-8.01,-12.3,-10.16,-7.05,10.7,-3.5,-14.21
2021,2,8,-10.1,-14.43,-12.26,-8.8,12.73,-1.64,-14.38
2021,2,9,-9.12,-13.28,-11.2,-8.35,17.02,2.15,-14.87
